"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6CD7UYFS","journalArticle","2021","Munday, James D.; Sherratt, Katharine; Meakin, Sophie; Endo, Akira; Pearson, Carl A. B.; Hellewell, Joel; Abbott, Sam; Bosse, Nikos I.; Atkins, Katherine E.; Wallinga, Jacco; Edmunds, W. John; van Hoek, Albert Jan; Funk, Sebastian","Implications of the school-household network structure on SARS-CoV-2 transmission under school reopening strategies in England","Nature Communications","","2041-1723","10.1038/s41467-021-22213-0","https://www.nature.com/articles/s41467-021-22213-0","In early 2020 many countries closed schools to mitigate the spread of SARS-CoV-2. Since then, governments have sought to relax the closures, engendering a need to understand associated risks. Using address records, we construct a network of schools in England connected through pupils who share households. We evaluate the risk of transmission between schools under different reopening scenarios. We show that whilst reopening select year-groups causes low risk of large-scale transmission, reopening secondary schools could result in outbreaks affecting up to 2.5 million households if unmitigated, highlighting the importance of careful monitoring and within-school infection control to avoid further school closures or other restrictions.","2021-03-29","2022-06-03 10:49:56","2026-02-17 15:12:04","2022-06-03 10:49:56","1942","","1","12","","Nat Commun","","","","","","Nature Publishing Group","","en","2021 The Author(s)","","","","www.nature.com","","Number: 1","","/Users/kathsherratt/Zotero/storage/MSLSJU2M/Munday et al. - 2021 - Implications of the school-household network struc.pdf","","","Computational models; Epidemiology; SARS-CoV-2; Viral infection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q83YDDRF","journalArticle","2021","Sherratt, Katharine; Abbott, Sam; Meakin, Sophie R.; Hellewell, Joel; Munday, James D.; Bosse, Nikos; Jit, Mark; Funk, Sebastian","Exploring surveillance data biases when estimating the reproduction number: with insights into subpopulation transmission of COVID-19 in England","Philosophical Transactions of the Royal Society B: Biological Sciences","","","10.1098/rstb.2020.0283","https://royalsocietypublishing.org/doi/full/10.1098/rstb.2020.0283","The time-varying reproduction number (Rt: the average number of secondary infections caused by each infected person) may be used to assess changes in transmission potential during an epidemic. While new infections are not usually observed directly, they can be estimated from data. However, data may be delayed and potentially biased. We investigated the sensitivity of Rt estimates to different data sources representing COVID-19 in England, and we explored how this sensitivity could track epidemic dynamics in population sub-groups. We sourced public data on test-positive cases, hospital admissions and deaths with confirmed COVID-19 in seven regions of England over March through August 2020. We estimated Rt using a model that mapped unobserved infections to each data source. We then compared differences in Rt with the demographic and social context of surveillance data over time. Our estimates of transmission potential varied for each data source, with the relative inconsistency of estimates varying across regions and over time. Rt estimates based on hospital admissions and deaths were more spatio-temporally synchronous than when compared to estimates from all test positives. We found these differences may be linked to biased representations of subpopulations in each data source. These included spatially clustered testing, and where outbreaks in hospitals, care homes, and young age groups reflected the link between age and severity of the disease. We highlight that policy makers could better target interventions by considering the source populations of Rt estimates. Further work should clarify the best way to combine and interpret Rt estimates from different data sources based on the desired use. This article is part of the theme issue ‘Modelling that shaped the early COVID-19 pandemic response in the UK’.","2021-07-19","2022-06-03 10:30:40","2026-02-17 15:12:04","2022-06-03 10:30:40","20200283","","1829","376","","","Exploring surveillance data biases when estimating the reproduction number","","","","","Royal Society","","","All rights reserved","","","","royalsocietypublishing.org (Atypon)","","","","/Users/kathsherratt/Zotero/storage/9QHKNN8R/Sherratt et al. - 2021 - Exploring surveillance data biases when estimating.pdf","","","SARS-CoV-2; COVID-19; bias; surveillance; time-varying reproduction number; transmission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTCT86LA","journalArticle","2021","Palmer, Joseph; Sherratt, Katharine; Martin-Nielsen, Richard; Bevan, Jonnie; Gibbs, Hamish; Group, Cmmid COVID-19 Working; Funk, Sebastian; Abbott, Sam","covidregionaldata: Subnational data for COVID-19 epidemiology","Journal of Open Source Software","","2475-9066","10.21105/joss.03290","https://joss.theoj.org/papers/10.21105/joss.03290","Palmer et al., (2021). covidregionaldata: Subnational data for COVID-19 epidemiology. Journal of Open Source Software, 6(63), 3290, https://doi.org/10.21105/joss.03290","2021-07-15","2022-06-03 10:32:29","2026-02-17 15:12:04","2022-06-03 10:32:29","3290","","63","6","","","covidregionaldata","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","joss.theoj.org","","","","/Users/kathsherratt/Zotero/storage/NH3JRD2G/Palmer et al. - 2021 - covidregionaldata Subnational data for COVID-19 e.pdf; /Users/kathsherratt/Zotero/storage/T9GSN8AR/joss.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JBWT4WR","journalArticle","2021","Pavelka, Martin; Van-Zandvoort, Kevin; Abbott, Sam; Sherratt, Katharine; Majdan, Marek; Covid, Cmmid; Flasche, Stefan; Funk, Sebastian","The impact of population-wide rapid antigen testing on SARS-CoV-2 prevalence in Slovakia","Science","","0036-8075","10.1126/science.abf9648","","","2021","2022-06-03 10:15:29","2026-02-17 15:12:04","","635-641","","6542","372","","","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","Zotero","","","","/Users/kathsherratt/Zotero/storage/N8U4XPAJ/Pavelka et al. - 2021 - The impact of population-wide rapid antigen testin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQ6TG9J9","preprint","2022","Abbott, Sam; Sherratt, Katharine; Gerstung, Moritz; Funk, Sebastian","Estimation of the test to test distribution as a proxy for generation interval distribution for the Omicron variant in England","","","","10.1101/2022.01.08.22268920","https://www.medrxiv.org/content/10.1101/2022.01.08.22268920v1","Background Early estimates from South Africa indicated that the Omicron COVID-19 variant may be both more transmissible and have greater immune escape than the previously dominant Delta variant. The rapid turnover of the latest epidemic wave in South Africa as well as initial evidence from contact tracing and household infection studies has prompted speculation that the generation time of the Omicron variant may be shorter in comparable settings than the generation time of the Delta variant. Methods We estimated daily growth rates for the Omicron and Delta variants in each UKHSA region from the 23rd of November to the 23rd of December 2021 using surveillance case counts by date of specimen and S-gene target failure status with an autoregressive model that allowed for time-varying differences in the transmission advantage of the Delta variant where the evidence supported this. By assuming a gamma distributed generation distribution we then estimated the generation time distribution and transmission advantage of the Omicron variant that would be required to explain this time varying advantage. We repeated this estimation process using two different prior estimates for the generation time of the Delta variant first based on household transmission and then based on its intrinsic generation time. Results Visualising our growth rate estimates provided initial evidence for a difference in generation time distributions. Assuming a generation time distribution for Delta with a mean of 2.5-4 days (90% credible interval) and a standard deviation of 1.9-3 days we estimated a shorter generation time distribution for Omicron with a mean of 1.5-3.2 days and a standard deviation of 1.3-4.6 days. This implied a transmission advantage for Omicron in this setting of 160%-210% compared to Delta. We found similar relative results using an estimate of the intrinsic generation time for Delta though all estimates increased in magnitude due to the longer assumed generation time. Conclusions We found that a reduction in the generation time of Omicron compared to Delta was able to explain the observed variation over time in the transmission advantage of the Omicron variant. However, this analysis cannot rule out the role of other factors such as differences in the populations the variants were mixing in, differences in immune escape between variants or bias due to using the test to test distribution as a proxy for the generation time distribution.","2022-01-10","2023-02-08 15:21:35","2026-02-17 15:12:04","2023-02-08 15:21:35","","","","","","","","","","","","medRxiv","","en","© 2022, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution 4.0 International), CC BY 4.0, as described at http://creativecommons.org/licenses/by/4.0/","","","","medRxiv","","Pages: 2022.01.08.22268920","","/Users/kathsherratt/Zotero/storage/VF45PLF9/Abbott et al. - 2022 - Estimation of the test to test distribution as a p.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3KM6KYN","journalArticle","2020","Funk, S.; Abbott, S.; Atkins, B. D.; Baguelin, M.; Baillie, J. K.; Birrell, P.; Blake, J.; Bosse, N. I.; Burton, J.; Carruthers, J.; Davies, N. G.; Angelis, D. De; Dyson, L.; Edmunds, W. J.; Eggo, R. M.; Ferguson, N. M.; Gaythorpe, K.; Gorsich, E.; Guyver-Fletcher, G.; Hellewell, J.; Hill, E. M.; Holmes, A.; House, T. A.; Jewell, C.; Jit, M.; Jombart, T.; Joshi, I.; Keeling, M. J.; Kendall, E.; Knock, E. S.; Kucharski, A. J.; Lythgoe, K. A.; Meakin, S. R.; Munday, J. D.; Openshaw, P. J. M.; Overton, C. E.; Pagani, F.; Pearson, J.; Perez-Guzman, P. N.; Pellis, L.; Scarabel, F.; Semple, M. G.; Sherratt, K.; Tang, M.; Tildesley, M. J.; Leeuwen, E. Van; Whittles, L. K.; Group, CMMID COVID-19 Working; Team, Imperial College COVID-19 Response; Investigators, Isaric4c","Short-term forecasts to inform the response to the Covid-19 epidemic in the UK","medRxiv","","","10.1101/2020.11.11.20220962","https://www.medrxiv.org/content/10.1101/2020.11.11.20220962v1","<p>Background: Short-term forecasts of infectious disease can create situational awareness and inform planning for outbreak response. Here, we report on multi-model forecasts of Covid-19 in the UK that were generated at regular intervals starting at the end of March 2020, in order to monitor expected healthcare utilisation and population impacts in real time. Methods: We evaluated the performance of individual model forecasts generated between 24 March and 14 July 2020, using a variety of metrics including the weighted interval score as well as metrics that assess the calibration, sharpness, bias and absolute error of forecasts separately. We further combined the predictions from individual models to ensemble forecasts using a simple mean as well as a quantile regression average that aimed to maximise performance. We further compared model performance to a null model of no change. Results: In most cases, individual models performed better than the null model, and ensembles models were well calibrated and performed comparatively to the best individual models. The quantile regression average did not noticeably outperform the mean ensemble. Conclusions: Ensembles of multi-model forecasts can inform the policy response to the Covid-19 pandemic by assessing future resource needs and expected population impact of morbidity and mortality.</p>","2020-11-13","2020-12-01 14:13:59","2026-02-17 15:12:04","2020-12-01 14:13:59","2020.11.11.20220962","","","","","","","","","","","Cold Spring Harbor Laboratory Press","","en","© 2020, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution 4.0 International), CC BY 4.0, as described at http://creativecommons.org/licenses/by/4.0/","","","","www.medrxiv.org","","","","/Users/kathsherratt/Zotero/storage/EJRPZY5X/Funk et al. - 2020 - Short-term forecasts to inform the response to the.pdf; /Users/kathsherratt/Zotero/storage/Y7Q368Z2/2020.11.11.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLL63622","journalArticle","2020","Abbott, Sam; Hellewell, Joel; Thompson, Robin N.; Sherratt, Katharine; Gibbs, Hamish P.; Bosse, Nikos I.; Munday, James D.; Meakin, Sophie; Doughty, Emma L.; Chun, June Young; Chan, Yung-Wai Desmond; Finger, Flavio; Campbell, Paul; Endo, Akira; Pearson, Carl A. B.; Gimma, Amy; Russell, Tim; CMMID COVID modelling group; Flasche, Stefan; Kucharski, Adam J.; Eggo, Rosalind M.; Funk, Sebastian","Estimating the time-varying reproduction number of SARS-CoV-2 using national and subnational case counts","Wellcome Open Research","","2398-502X","10.12688/wellcomeopenres.16006.1","https://wellcomeopenresearch.org/articles/5-112/v1","Background:               Interventions are now in place worldwide to reduce transmission of the novel coronavirus. Assessing temporal variations in transmission in different countries is essential for evaluating the effectiveness of public health interventions and the impact of changes in policy.                                         Methods:               We use case notification data to generate daily estimates of the time-dependent reproduction number in different regions and countries. Our modelling framework, based on open source tooling, accounts for reporting delays, so that temporal variations in reproduction number estimates can be compared directly with the times at which interventions are implemented.                                         Results:               We provide three example uses of our framework. First, we demonstrate how the toolset displays temporal changes in the reproduction number. Second, we show how the framework can be used to reconstruct case counts by date of infection from case counts by date of notification, as well as to estimate the reproduction number. Third, we show how maps can be generated to clearly show if case numbers are likely to decrease or increase in different regions. Results are shown for regions and countries worldwide on our website (               https://epiforecasts.io/covid/               ) and are updated daily. Our tooling is provided as an open-source R package to allow replication by others.                                         Conclusions:               This decision-support tool can be used to assess changes in virus transmission in different regions and countries worldwide. This allows policymakers to assess the effectiveness of current interventions, and will be useful for inferring whether or not transmission will increase when interventions are lifted. As well as providing daily updates on our website, we also provide adaptable computing code so that our approach can be used directly by researchers and policymakers on confidential datasets. We hope that our tool will be used to support decisions in countries worldwide throughout the ongoing COVID-19 pandemic.","2020-06-01","2020-06-06 11:05:08","2026-02-17 15:12:04","2020-06-06 11:05:08","112","","","5","","Wellcome Open Res","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/kathsherratt/Zotero/storage/QJLBAS4M/5-112.html; /Users/kathsherratt/Zotero/storage/MLSTWH26/Abbott et al. - 2020 - Estimating the time-varying reproduction number of.pdf","","05-19-32.bib; library 15-09-2020; Zotero Import (Sep 15); Zotero Import (Sep 15)/My Library; Zotero Import (Sep 15)/My Library/Covid-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XK9BRDA7","journalArticle","2023","Sherratt, Katharine; Gruson, Hugo; Grah, Rok; Johnson, Helen; Niehus, Rene; Prasse, Bastian; Sandmann, Frank; Deuschel, Jannik; Wolffram, Daniel; Abbott, Sam; Ullrich, Alexander; Gibson, Graham; Ray, Evan L; Reich, Nicholas G; Sheldon, Daniel; Wang, Yijin; Wattanachit, Nutcha; Wang, Lijing; Trnka, Jan; Obozinski, Guillaume; Sun, Tao; Thanou, Dorina; Pottier, Loic; Krymova, Ekaterina; Meinke, Jan H; Barbarossa, Maria Vittoria; Leithauser, Neele; Mohring, Jan; Schneider, Johanna; Wlazlo, Jaroslaw; Fuhrmann, Jan; Lange, Berit; Rodiah, Isti; Baccam, Prasith; Gurung, Heidi; Stage, Steven; Suchoski, Bradley; Budzinski, Jozef; Walraven, Robert; Villanueva, Inmaculada; Tucek, Vit; Smid, Martin; Zajicek, Milan; Perez Alvarez, Cesar; Reina, Borja; Bosse, Nikos I; Meakin, Sophie R; Castro, Lauren; Fairchild, Geoffrey; Michaud, Isaac; Osthus, Dave; Alaimo Di Loro, Pierfrancesco; Maruotti, Antonello; Eclerova, Veronika; Kraus, Andrea; Kraus, David; Pribylova, Lenka; Dimitris, Bertsimas; Li, Michael Lingzhi; Saksham, Soni; Dehning, Jonas; Mohr, Sebastian; Priesemann, Viola; Redlarski, Grzegorz; Bejar, Benjamin; Ardenghi, Giovanni; Parolini, Nicola; Ziarelli, Giovanni; Bock, Wolfgang; Heyder, Stefan; Hotz, Thomas; Singh, David E; Guzman-Merino, Miguel; Aznarte, Jose L; Morina, David; Alonso, Sergio; Alvarez, Enric; Lopez, Daniel; Prats, Clara; Burgard, Jan Pablo; Rodloff, Arne; Zimmermann, Tom; Kuhlmann, Alexander; Zibert, Janez; Pennoni, Fulvia; Divino, Fabio; Catala, Marti; Lovison, Gianfranco; Giudici, Paolo; Tarantino, Barbara; Bartolucci, Francesco; Jona Lasinio, Giovanna; Mingione, Marco; Farcomeni, Alessio; Srivastava, Ajitesh; Montero-Manso, Pablo; Adiga, Aniruddha; Hurt, Benjamin; Lewis, Bryan; Marathe, Madhav; Porebski, Przemyslaw; Venkatramanan, Srinivasan; Bartczuk, Rafal P; Dreger, Filip; Gambin, Anna; Gogolewski, Krzysztof; Gruziel-Slomka, Magdalena; Krupa, Bartosz; Moszyński, Antoni; Niedzielewski, Karol; Nowosielski, Jedrzej; Radwan, Maciej; Rakowski, Franciszek; Semeniuk, Marcin; Szczurek, Ewa; Zielinski, Jakub; Kisielewski, Jan; Pabjan, Barbara; Holger, Kirsten; Kheifetz, Yuri; Scholz, Markus; Przemyslaw, Biecek; Bodych, Marcin; Filinski, Maciej; Idzikowski, Radoslaw; Krueger, Tyll; Ozanski, Tomasz; Bracher, Johannes; Funk, Sebastian","Predictive performance of multi-model ensemble forecasts of COVID-19 across European nations","eLife","","2050-084X","10.7554/eLife.81916","https://doi.org/10.7554/eLife.81916","","2023-04-21","2023-06-23 22:14:58","2026-02-17 15:12:04","","e81916","","","12","","","","","","","","eLife Sciences Publications, Ltd","","","","","","","eLife","","","","/Users/kathsherratt/Zotero/storage/63YUADIA/Sherratt et al. - 2023 - Predictive performance of multi-model ensemble for.pdf","","","COVID-19; Europe; prediction; forecast; ensemble; modelling","Wesolowski, Amy; Ferguson, Neil M; Shaman, Jeffrey L; Pei, Sen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y9MNIQBD","journalArticle","2024","Sherratt, Katharine; Carnegie, AC; Kucharski, A; Cori, A; Pearson, CAB; Jarvis, CI; Overton, C; Weston, D; Hill, EM; Knock, E; Fearon, E; Nightingale, E; Hellewell, J; Edmunds, WJ; Villabona Arenas, J; Prem, K; Pi, L; Baguelin, M; Kendall, M; Ferguson, N; Davies, N; Eggo, RM; van Elsland, S; Russell, T; Funk, S; Liu, Y; Abbott, S","Improving modelling for epidemic responses: reflections from members of the UK infectious disease modelling community on their experiences during the COVID-19 pandemic","Wellcome Open Research","","","10.12688/wellcomeopenres.19601.1","","","2024","2024-01-24 14:39:23","2026-02-17 15:12:04","","","","12","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8473XTRS","journalArticle","2024","Sherratt, Katharine; Srivastava, Ajitesh; Ainslie, Kylie; Singh, David E.; Cublier, Aymar; Marinescu, Maria Cristina; Carretero, Jesus; Garcia, Alberto Cascajo; Franco, Nicolas; Willem, Lander; Abrams, Steven; Faes, Christel; Beutels, Philippe; Hens, Niel; Müller, Sebastian; Charlton, Billy; Ewert, Ricardo; Paltra, Sydney; Rakow, Christian; Rehmann, Jakob; Conrad, Tim; Schütte, Christof; Nagel, Kai; Abbott, Sam; Grah, Rok; Niehus, Rene; Prasse, Bastian; Sandmann, Frank; Funk, Sebastian","Characterising information gains and losses when collecting multiple epidemic model outputs","Epidemics","","1755-4365","10.1016/j.epidem.2024.100765","https://www.sciencedirect.com/science/article/pii/S1755436524000264","Background. Collaborative comparisons and combinations of epidemic models are used as policy-relevant evidence during epidemic outbreaks. In the process of collecting multiple model projections, such collaborations may gain or lose relevant information. Typically, modellers contribute a probabilistic summary at each time-step. We compared this to directly collecting simulated trajectories. We aimed to explore information on key epidemic quantities; ensemble uncertainty; and performance against data, investigating potential to continuously gain information from a single cross-sectional collection of model results. Methods We compared July 2022 projections from the European COVID-19 Scenario Modelling Hub. Five modelling teams projected incidence in Belgium, the Netherlands, and Spain. We compared projections by incidence, peaks, and cumulative totals. We created a probabilistic ensemble drawn from all trajectories, and compared to ensembles from a median across each model’s quantiles, or a linear opinion pool. We measured the predictive accuracy of individual trajectories against observations, using this in a weighted ensemble. We repeated this sequentially against increasing weeks of observed data. We evaluated these ensembles to reflect performance with varying observed data. Results. By collecting modelled trajectories, we showed policy-relevant epidemic characteristics. Trajectories contained a right-skewed distribution well represented by an ensemble of trajectories or a linear opinion pool, but not models’ quantile intervals. Ensembles weighted by performance typically retained the range of plausible incidence over time, and in some cases narrowed this by excluding some epidemic shapes. Conclusions. We observed several information gains from collecting modelled trajectories rather than quantile distributions, including potential for continuously updated information from a single model collection. The value of information gains and losses may vary with each collaborative effort’s aims, depending on the needs of projection users. Understanding the differing information potential of methods to collect model projections can support the accuracy, sustainability, and communication of collaborative infectious disease modelling efforts. Data availability All code and data available on Github: https://github.com/covid19-forecast-hub-europe/aggregation-info-loss","2024-03-27","2024-04-17 12:34:01","2026-02-17 15:12:04","2024-04-17 12:34:01","100765","","","","","Epidemics","","","","","","","","","","","","","ScienceDirect","","","","/Users/kathsherratt/Zotero/storage/3XUYEXZW/Sherratt et al. - 2024 - Characterising information gains and losses when c.pdf","","","uncertainty; modelling; aggregation; information; scenarios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
