"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AUQCIWQP","journalArticle","2018","Carlson, Colin J.; Dougherty, Eric; Boots, Mike; Getz, Wayne; Ryan, Sadie J.","Consensus and conflict among ecological forecasts of Zika virus outbreaks in the United States","Scientific Reports","","2045-2322","10.1038/s41598-018-22989-0","","Ecologists are increasingly involved in the pandemic prediction process. In the course of the Zika outbreak in the Americas, several ecological models were developed to forecast the potential global distribution of the disease. Conflicting results produced by alternative methods are unresolved, hindering the development of appropriate public health forecasts. We compare ecological niche models and experimentally-driven mechanistic forecasts for Zika transmission in the continental United States. We use generic and uninformed stochastic county-level simulations to demonstrate the downstream epidemiological consequences of conflict among ecological models, and show how assumptions and parameterization in the ecological and epidemiological models propagate uncertainty and produce downstream model conflict. We conclude by proposing a basic consensus method that could resolve conflicting models of potential outbreak geography and seasonality. Our results illustrate the usually-undocumented margin of uncertainty that could emerge from using any one of these predictions without reservation or qualification. In the short term, ecologists face the task of developing better post hoc consensus that accurately forecasts spatial patterns of Zika virus outbreaks. Ultimately, methods are needed that bridge the gap between ecological and epidemiological approaches to predicting transmission and realistically capture both outbreak size and geography.","2018-03-21","2022-12-12 16:23:33","2026-02-17 15:12:04","","4921","","1","8","","Sci Rep","","","","","","","","eng","","","","","PubMed","","","","; /Users/kathsherratt/Zotero/storage/Y393QXIH/s41598-018-22989-0.pdf","http://www.ncbi.nlm.nih.gov/pubmed/29563545","","Consensus; Disease Outbreaks; Ecosystem; Forecasting; Humans; Models, Biological; United States; Zika Virus; Zika Virus Infection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVYKBQ2K","journalArticle","2013","Leach, Melissa; Scoones, Ian","The social and political lives of zoonotic disease models: Narratives, science and policy","Social Science & Medicine","","0277-9536","10.1016/j.socscimed.2013.03.017","https://www.sciencedirect.com/science/article/pii/S0277953613001792","Zoonotic diseases currently pose both major health threats and complex scientific and policy challenges, to which modelling is increasingly called to respond. In this article we argue that the challenges are best met by combining multiple models and modelling approaches that elucidate the various epidemiological, ecological and social processes at work. These models should not be understood as neutral science informing policy in a linear manner, but as having social and political lives: social, cultural and political norms and values that shape their development and which they carry and project. We develop and illustrate this argument in relation to the cases of H5N1 avian influenza and Ebola, exploring for each the range of modelling approaches deployed and the ways they have been co-constructed with a particular politics of policy. Addressing the complex, uncertain dynamics of zoonotic disease requires such social and political lives to be made explicit in approaches that aim at triangulation rather than integration, and plural and conditional rather than singular forms of policy advice.","2013-07-01","2023-05-13 13:09:29","2026-02-17 15:12:04","2023-05-13 13:09:29","10-17","","","88","","Social Science & Medicine","The social and political lives of zoonotic disease models","","","","","","","en","","","","","ScienceDirect","","","","/Users/kathsherratt/Zotero/storage/TRHJG67F/S0277953613001792.html; /Users/kathsherratt/Zotero/storage/YPTNX24H/Leach and Scoones - 2013 - The social and political lives of zoonotic disease.pdf","","","Zoonoses; Ebola; Uncertainty; H5N1; Modelling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUFLMRS7","journalArticle","2015","Whitty, Christopher J. M.","What makes an academic paper useful for health policy?","BMC Medicine","","1741-7015","10.1186/s12916-015-0544-8","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4682263/","Evidence-based policy ensures that the best interventions are effectively implemented. Integrating rigorous, relevant science into policy is therefore essential. Barriers include the evidence not being there; lack of demand by policymakers; academics not producing rigorous, relevant papers within the timeframe of the policy cycle. This piece addresses the last problem. Academics underestimate the speed of the policy process, and publish excellent papers after a policy decision rather than good ones before it. To be useful in policy, papers must be at least as rigorous about reporting their methods as for other academic uses. Papers which are as simple as possible (but no simpler) are most likely to be taken up in policy. Most policy questions have many scientific questions, from different disciplines, within them. The accurate synthesis of existing information is the most important single offering by academics to the policy process. Since policymakers are making economic decisions, economic analysis is central, as are the qualitative social sciences. Models should, wherever possible, allow policymakers to vary assumptions. Objective, rigorous, original studies from multiple disciplines relevant to a policy question need to be synthesized before being incorporated into policy.","2015-12-17","2023-05-13 13:06:25","2026-02-17 15:12:04","2023-05-13 13:06:25","301","","","13","","BMC Med","","","","","","","","","","","","","PubMed Central","","","","/Users/kathsherratt/Zotero/storage/F762ARKH/Whitty - 2015 - What makes an academic paper useful for health pol.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4682263/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PEX6DY5","journalArticle","2022","Medley, Graham F.","A consensus of evidence: The role of SPI-M-O in the UK COVID-19 response","Advances in Biological Regulation","","2212-4926","10.1016/j.jbior.2022.100918","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525209/","","2022-12","2023-05-12 13:04:25","2026-02-17 15:12:04","2023-05-12 13:04:25","100918","","","86","","Adv Biol Regul","A consensus of evidence","","","","","","","","","","","","PubMed Central","","","","/Users/kathsherratt/Zotero/storage/RJ8TE33I/Medley - 2022 - A consensus of evidence The role of SPI-M-O in th.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9525209/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4NSVIXL","journalArticle","2011","Lipsitch, Marc; Finelli, Lyn; Heffernan, Richard T.; Leung, Gabriel M.; Redd, Stephen C.","Improving the Evidence Base for Decision Making During a Pandemic: The Example of 2009 Influenza A/H1N1","Biosecurity and Bioterrorism : Biodefense Strategy, Practice, and Science","","1538-7135","10.1089/bsp.2011.0007","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3102310/","This article synthesizes discussions held during an internationalmeeting, “Surveillance forDecisionMaking: The Example of 2009 Pandemic Influenza A/H1N1,” held at Harvard School of Public Health in June 2010. It defines the needs for surveillance in terms of the key decisions thatmust be made in response to a pandemic: how large a response to mount and which control measures to implement, for whom, and when. The article describes the sources of surveillance and other population-based data that can form the basis for such evidence, and the interpretive tools needed to process raw surveillance data. It concludes with key lessons of the 2009 pandemic for designing and planning surveillance in the future., This article synthesizes and extends discussions held during an international meeting on “Surveillance for Decision Making: The Example of 2009 Pandemic Influenza A/H1N1,” held at the Center for Communicable Disease Dynamics (CCDD), Harvard School of Public Health, on June 14 and 15, 2010. The meeting involved local, national, and global health authorities and academics representing 7 countries on 4 continents. We define the needs for surveillance in terms of the key decisions that must be made in response to a pandemic: how large a response to mount and which control measures to implement, for whom, and when. In doing so, we specify the quantitative evidence required to make informed decisions. We then describe the sources of surveillance and other population-based data that can presently—or in the future—form the basis for such evidence, and the interpretive tools needed to process raw surveillance data. We describe other inputs to decision making besides epidemiologic and surveillance data, and we conclude with key lessons of the 2009 pandemic for designing and planning surveillance in the future.","2011-06","2022-12-03 04:52:42","2026-02-17 15:12:04","2023-04-07 18:08:40","89-115","","2","9","","Biosecur Bioterror","Improving the Evidence Base for Decision Making During a Pandemic","","","","","","","","","","","","PubMed Central","","","","/Users/kathsherratt/Zotero/storage/LYN63IE3/Lipsitch et al. - 2011 - Improving the Evidence Base for Decision Making Du.pdf; /Users/kathsherratt/Zotero/storage/38J2KZAF/Lipsitch et al. - 2011 - Improving the Evidence Base for Decision Making Du.pdf; /Users/kathsherratt/Zotero/storage/6WPGV7M3/Lipsitch et al. - 2011 - Improving the Evidence Base for Decision Making Du.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3102310/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"526WQ7M3","journalArticle","2020","Touzé-Peiffer, Ludovic; Barberousse, Anouk; Le Treut, Hervé","The Coupled Model Intercomparison Project: History, uses, and structural effects on climate research","WIREs Climate Change","","1757-7799","10.1002/wcc.648","https://onlinelibrary.wiley.com/doi/abs/10.1002/wcc.648","The results of the sixth phase of the coupled model intercomparison project (CMIP) are currently being analyzed and will form the basis of the IPCC Sixth Assessment Report. Since its creation in the mid-1990s, CMIP has had an increasing influence on climate research. While the principle behind it has always remained the same—comparing different climate models under similar conditions—its design and motivations have evolved significantly over the phases of the project. This evolution is closely linked to that of the IPCC since, historically as well as today, the results of CMIP have played a major role in the Panel's reports. This role increased the visibility of CMIP. Over time, more and more people started to be interested in CMIP and to analyze its results. Despite this success, the way CMIP is used today raises methodological issues. In fact, CMIP has promoted a particular way of doing climate research, centered on a single tool–Global Coupled Models (GCMs)–and creating a gap between model developers and model users. Due to the debates regarding the interpretation of multi-model ensembles and the validation of GCMs, whether the emphasis on this particular way of studying climate is serving the progress of climate science is questionable. This article is categorized under: Climate Models and Modeling > Knowledge Generation with Models","2020","2023-02-08 06:26:44","2026-02-17 15:12:04","2023-02-08 06:26:44","e648","","4","11","","","The Coupled Model Intercomparison Project","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/wcc.648","","/Users/kathsherratt/Zotero/storage/7SP7MM3Y/wcc.html; /Users/kathsherratt/Zotero/storage/QG7UYKS9/Touzé-Peiffer et al. - 2020 - The Coupled Model Intercomparison Project History.pdf","","","climate models; CMIP; epistemology; IPCC; numerical simulations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ADLFJRL","journalArticle","2021","Jebeile, Julie; Barberousse, Anouk","Model spread and progress in climate modelling","European Journal for Philosophy of Science","","1879-4912, 1879-4920","10.1007/s13194-021-00387-0","https://link.springer.com/10.1007/s13194-021-00387-0","Convergence of model projections is often considered by climate scientists to be an important objective in so far as it may indicate the robustness of the models’ core hypotheses. Consequently, the range of climate projections from a multi-model ensemble, called “model spread”, is often expected to reduce as climate research moves forward. However, the successive Assessment Reports of the Intergovernmental Panel on Climate Change indicate no reduction in model spread, whereas it is indisputable that climate science has made improvements in its modelling. In this paper, after providing a detailed explanation of the situation, we describe an epistemological setting in which a steady (and even slightly increased) model spread is not doomed to be seen as negative, and is indeed compatible with a desirable evolution of climate models taken individually. We further argue that, from the perspective of collective progress, as far as the improvement of the products of a multi-model ensemble (e.g. means) is concerned, reduction of model spread is of lower priority than model independence.","2021-09","2022-12-25 19:55:55","2026-04-01 20:22:44","2022-12-29 19:36:54","66","","3","11","","Euro Jnl Phil Sci","","","","","","","","en","","","","","Semantic Scholar","","tex.ids= jebeileModelSpreadProgress2021a","","/Users/kathsherratt/Zotero/storage/5PRZG4MB/Jebeile and Barberousse - 2021 - Model spread and progress in climate modelling.pdf; /Users/kathsherratt/Zotero/storage/S3I96WDK/Jebeile and Barberousse - 2021 - Model spread and progress in climate modelling.pdf; ","https://www.semanticscholar.org/paper/Model-spread-and-progress-in-climate-modelling-Jebeile-Barberousse/410e4911ed46df3d250f36f92e6111f2d1ff35f7","","Robustness; Climate modelling; Model independence; Model spread; Scientific progress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z93MWZDP","journalArticle","2022","Coughlan de Perez, Erin; Stephens, Elisabeth; van Aalst, Maarten; Bazo, Juan; Fournier-Tombs, Eleonore; Funk, Sebastian; Hess, Jeremy J.; Ranger, Nicola; Lowe, Rachel","Epidemiological versus meteorological forecasts: Best practice for linking models to policymaking","International Journal of Forecasting","","0169-2070","10.1016/j.ijforecast.2021.08.003","https://www.sciencedirect.com/science/article/pii/S0169207021001254","Weather forecasts, climate change projections, and epidemiological predictions all represent domains that are using forecast data to take early action for risk management. However, the methods and applications of the modeling efforts in each of these three fields have been developed and applied with little cross-fertilization. This perspective identifies best practices in each domain that can be adopted by the others, which can be used to inform each field separately as well as to facilitate a more effective combined use for the management of compound and evolving risks. In light of increased attention to predictive modeling during the COVID-19 pandemic, we identify three major areas that all three of these modeling fields should prioritize for future investment and improvement: (1) decision support, (2) conveying uncertainty, and (3) capturing vulnerability.","2022-04-01","2022-12-17 23:07:43","2026-02-17 15:12:04","2022-12-17 23:07:42","521-526","","2","38","","International Journal of Forecasting","Epidemiological versus meteorological forecasts","","","","","","","en","","","","","ScienceDirect","","","","/Users/kathsherratt/Zotero/storage/4ZTBH654/Coughlan de Perez et al. - 2022 - Epidemiological versus meteorological forecasts B.pdf; /Users/kathsherratt/Zotero/storage/77QM9NAE/S0169207021001254.html","","","Forecasting; COVID-19; Climate; Weather; Risk; Uncertainty; Vulnerability; Communication; Disasters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6XFN2IV","journalArticle","1979","Box, George","Robustness in the Strategy of Scientific Model Building.","","","","10.1016/B978-0-12-438150-6.50018-2","https://typeset.io/papers/robustness-in-the-strategy-of-scientific-model-building-1ycoit35k0","Publisher Summary Robustness may be defined as the property of a procedure which renders the answers it gives insensitive to departures, of a kind which occur in practice, from ideal assumptions Since assumptions imply some kind of scientific model, I believe that it is necessary to look at the process of scientific modelling itself to understand the nature of and the need for robust procedures Against such a view it might be urged that some useful robust procedures have been derived empirically without an explicitly stated model However, an empirical procedure implies some unstated model and there is often great virtue in bringing into the open the kind of assumptions that lead to useful methods The need for robust methods seems to be intimately mixed up with the need for simple models This we now discuss","1979-01-01","2022-12-15 20:59:07","2026-02-17 15:12:04","2022-12-15 20:59:07","201-236","","","","","","","","","","","Academic Press","","en","","","","","typeset.io","","","","/Users/kathsherratt/Zotero/storage/3P8Y2I79/1979 - Robustness in the Strategy of Scientific Model Building..pdf; /Users/kathsherratt/Zotero/storage/4REV9J5C/robustness-in-the-strategy-of-scientific-model-building-1ycoit35k0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGAGPLEW","journalArticle","2019","den Boon, Saskia; Jit, Mark; Brisson, Marc; Medley, Graham; Beutels, Philippe; White, Richard; Flasche, Stefan; Hollingsworth, T. Déirdre; Garske, Tini; Pitzer, Virginia E.; Hoogendoorn, Martine; Geffen, Oliver; Clark, Andrew; Kim, Jane; Hutubessy, Raymond","Guidelines for multi-model comparisons of the impact of infectious disease interventions","BMC Medicine","","1741-7015","10.1186/s12916-019-1403-9","https://doi.org/10.1186/s12916-019-1403-9","Despite the increasing popularity of multi-model comparison studies and their ability to inform policy recommendations, clear guidance on how to conduct multi-model comparisons is not available. Herein, we present guidelines to provide a structured approach to comparisons of multiple models of interventions against infectious diseases. The primary target audience for these guidelines are researchers carrying out model comparison studies and policy-makers using model comparison studies to inform policy decisions.","2019-08-19","2022-12-12 16:24:11","2026-02-17 15:12:04","2022-12-12 16:24:11","163","","1","17","","BMC Medicine","","","","","","","","","","","","","BioMed Central","","","","/Users/kathsherratt/Zotero/storage/ZZSPQYSU/den Boon et al. - 2019 - Guidelines for multi-model comparisons of the impa.pdf; /Users/kathsherratt/Zotero/storage/Q2XH9UH7/s12916-019-1403-9.html","","","Infectious diseases; Decision-making; Cost-effectiveness; Harmonisation; Impact modelling; Interventions; Mathematical modelling; Model comparisons; Policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
